Lemma,Eng Gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Example Sentence,Translation,Reference,Topic(s)
,,,,,,,,,,,
слово,word,N.Neut.Inan,A1,"Golosa, MIP, Лм",1,словам,Plur.Dat,"По словам директора, цена за билет на фестиваль очень низкая.","According to the director, the cost of a ticket to the festival is very low.",,"коммуникация, общество"
слово,word,N.Neut.Inan,A1,"Golosa, MIP, Лм",2,слова,Sing.Gen,Значение этого слова неизвестно.,The meaning of this word is unknown.,,"коммуникация, общество"
слово,word,N.Neut.Inan,A1,"Golosa, MIP, Лм",3,слово,Sing.Nom,В начале было слово.,In the beginning was the word.,John 1:1,"коммуникация, общество"
,,,,,,,,,,,
год,year,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,лет,Gen.Plur,Ване двадцать пять лет.,Vanya is 25 years old.,_,"мера, время"
год,year,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,года,Gen.Sing,Я не был в театре два года. ,I haven't been to the theatre for 2 years.,_,"мера, время"
год,year,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,году,Loc.Sing,Я родился в 1990 году. ,I was born in 1990.,_,"мера, время"
человек,human,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",1,люди,Nom.Plur,"Я не знаю, кто эти люди. ",I don't know who these people are.,_,люди
человек,human,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",2,человек,Nom.Sing,Этот человек мне знаком. ,I know that person.,_,люди
человек,human,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",3,человека,Gen.Sing,Я не знаю этого человека. ,I don't know that person.,_,люди
брать,take,V,A1,"Golosa, MiP, LM, МН, Поехали",1,брать,Inf,Он не любит брать деньги в долг. ,He doesn't like to borrow money.,_,"общение, магазин"
брать,take,V,A1,"Golosa, MiP, LM, МН, Поехали",2,берёт,Sing.3.Pres/Fut,Она всегда берет в магазине молоко. ,She always gets milk at the grocery store.,_,"общение, магазин"
брать,take,V,A1,"Golosa, MiP, LM, МН, Поехали",3,брали,Plur.Past,"Она не была высокой, поэтому ее не брали в баскетбольную команду. ","She wasn't tall, so she wasn't chosen for the basketball team.",_,"общение, магазин"
взять,take,V,A1,"LM, МН, Поехали",1,взять,Inf,"На улице дождь, не забудь взять зонт. ","It's raining outside, don't forget to take an umbrella.",_,"общение, магазин"
взять,take,V,A1,"LM, МН, Поехали",2,взял,Masc.Sing.Past,"Хорошо, что он взял с собой куртку. На улице холодно. ",Good that he took his coat with him. It's cold outside.,_,"общение, магазин"
взять,take,V,A1,"LM, МН, Поехали",3,взяли,Plur.Past,В Барселону мы взяли самый большой чемодан.,We took the biggest suitcase with us to Barcelona.,_,"общение, магазин"
время,time,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",1,время,Acc.Sing,Я не люблю тратить время на покупки.,I don't like to spend time on shopping.,_,время
время,time,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",2,времени,Gen.Sing,У меня мало свободного времени.,I don't have much free time.,_,время
время,time,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",3,временем,Ins.Sing,Со временем бегать по утрам становится легче.,After a while jogging in the morning gets easier.,_,время
вопрос,question,N.Masc.Inan,A1,"Golosa, MiP, МН, Поехали",1,вопрос,Nom.Sing,"Быть или не быть, вот в чём вопрос. ","To be, or not to be, that is the question.","Hamlet's soliloquy. 'Hamlet', W. Shakespeare ",люди
вопрос,question,N.Masc.Inan,A1,"Golosa, MiP, МН, Поехали",2,вопросы,Acc.Plur,Никто не может ответить на мои вопросы. ,Nobody can answer my questions. ,_,люди
вопрос,question,N.Masc.Inan,A1,"Golosa, MiP, МН, Поехали",3,вопросов,Gen.Plur,У нас много вопросов к президенту.,We have many questions for the president.,_,люди
раз,time,N.Masc.Inan,A1,"LM, МН",1,раз,Acc.Sing,"Я помню, как увидел Эйфелеву башню в первый раз.",I remember the first time I saw the Eiffel tower.,_,"мера, время"
раз,time,N.Masc.Inan,A1,"LM, МН",2,раза,Gen.Sing,Нам повторили вопрос два раза: по-русски и по-английски. ,They repeated their question twice: in Russian and in English.,_,"мера, время"
раз,time,N.Masc.Inan,A1,"LM, МН",3,разу,Gen.Sing,Я ни разу в жизни не видела жирафа. ,I have never seen a giraffe in my life. ,_,"мера, время"
жизнь,life,N.Fem.Inan,A1,"MiP, LM, МН",1,жизни,Gen.Sing,На Марсе нет жизни.,There's no life on Mars.,_,"время, люди"
жизнь,life,N.Fem.Inan,A1,"MiP, LM, МН",2,жизнь,Acc.Sing,Расскажите мне про свою жизнь в Америке!,Tell me about your life in America!,_,"время, люди"
